"Chinook Salmon, Kenai River, Oct. 1998"
"total fish length mm =" 775
"fish mass g =" 00
"number of swimbladder chambers=" 1
"x,   z-upper,   z-lower,   width"
"fish body"
         775
      606.000      26.2225     -104.693      80.8404
      607.000      26.0212     -104.463      80.8404
      608.000      26.0212     -104.003      80.2899
      609.000      26.0212     -103.772      79.1890
      610.000      26.0212     -103.571      78.6385
      611.000      26.0212     -103.168      78.6385
      612.000      26.0212     -102.967      78.6385
      613.000      26.0212     -102.967      78.0880
      614.000      26.0212     -102.766      76.9871
      615.000      26.0212     -102.161      76.4367
      616.000      26.0212     -101.557      75.8862
      617.000      26.0212     -101.356      74.7852
      618.000      26.0212     -101.356      74.2348
      619.000      26.0212     -101.155      74.2348
      620.000      26.0212     -100.752      73.6843
      621.000      26.0212     -100.349      72.5833
      622.000      25.8198     -99.9465      71.4824
      623.000      25.4171     -99.5438      70.3815
      624.000      25.2157     -99.1410      69.8310
      625.000      25.2157     -98.7095      69.8310
      626.000      25.2157     -98.0479      69.8310
      627.000      25.2157     -97.2137      69.8310
      628.000      25.2157     -96.6096      69.2805
      629.000      25.2157     -96.2069      67.5505
      630.000      25.2157     -95.6028      65.7418
      631.000      25.2157     -94.7973      65.1127
      632.000      25.2157     -93.9919      65.1127
      633.000      25.2157     -93.1576      65.1127
      634.000      25.2157     -92.2947      65.1127
      635.000      25.2157     -91.4604      65.1127
      636.000      25.2157     -90.6550      65.1127
      637.000      25.2157     -89.8495      64.5622
      638.000      25.2157     -89.0441      63.4613
      639.000      25.2157     -88.2386      62.9108
      640.000      25.2157     -87.4044      62.9108
      641.000      25.2157     -86.5414      62.3603
      642.000      25.2157     -85.7072      61.2593
      643.000      25.0143     -84.7004      60.7089
      644.000      24.6116     -82.8593      60.7089
      645.000      24.4103     -80.3854      60.7089
      646.000      24.4103     -78.3430      60.7089
      647.000      24.4103     -76.7033      60.7089
      648.000      24.4103     -74.8335      60.0798
      649.000      24.4103     -72.9925      58.8216
      650.000      24.2089     -71.5541      58.1925
      651.000      23.8062     -70.0871      58.2711
      652.000      23.4034     -68.2460      58.4284
      653.000      23.0007     -66.6351      58.5070
      654.000      22.5980     -65.5995      58.5070
      655.000      21.9651     -64.5352      58.5070
      656.000      21.3035     -63.7009      57.9566
      657.000      20.8720     -63.2982      56.2265
